category,year,title,local_file,url,notes
PEFT,2021,LoRA: Low-Rank Adaptation of Large Language Models,01-PEFT参数高效微调/LoRA - Low-Rank Adaptation of Large Language Models.pdf,https://arxiv.org/abs/2106.09685,LoRA 基础方法
PEFT,2023,QLoRA: Efficient Finetuning of Quantized LLMs,01-PEFT参数高效微调/QLoRA - Efficient Finetuning of Quantized LLMs.pdf,https://arxiv.org/abs/2305.14314,4-bit 量化基座 + LoRA
PEFT,2024,DoRA: Weight-Decomposed Low-Rank Adaptation,01-PEFT参数高效微调/DoRA - Weight-Decomposed Low-Rank Adaptation.pdf,https://arxiv.org/abs/2402.09353,权重分解低秩适配
PEFT,2024,PiSSA: Principal Singular values and Singular vectors Adaptation,01-PEFT参数高效微调/PiSSA - Principal Singular values and Singular vectors Adaptation.pdf,https://arxiv.org/abs/2404.02948,SVD 初始化 adapter
PEFT,2024,MoRA: High-Rank Updating for Parameter-Efficient Fine-Tuning,01-PEFT参数高效微调/MoRA - High-Rank Updating for Parameter-Efficient Fine-Tuning.pdf,https://arxiv.org/abs/2405.12130,高秩 PEFT
PEFT,2024,GaLore: Memory-Efficient LLM Training by Gradient Low-Rank Projection,01-PEFT参数高效微调/GaLore - Memory-Efficient LLM Training by Gradient Low-Rank Projection.pdf,https://arxiv.org/abs/2403.03507,低秩梯度投影
PEFT,2024,Spectrum: Targeted Training on Signal to Noise Ratio,01-PEFT参数高效微调/Spectrum - Targeted Training on Signal to Noise Ratio.pdf,https://arxiv.org/abs/2406.06623,选择性训练
Preference,2023,Direct Preference Optimization,02-Preference偏好对齐/DPO - Direct Preference Optimization.pdf,https://arxiv.org/abs/2305.18290,偏好优化基础
Preference,2024,KTO: Model Alignment as Prospect Theoretic Optimization,02-Preference偏好对齐/KTO - Model Alignment as Prospect Theoretic Optimization.pdf,https://arxiv.org/abs/2402.01306,二元反馈偏好优化
Preference,2024,ORPO: Monolithic Preference Optimization without Reference Model,02-Preference偏好对齐/ORPO - Monolithic Preference Optimization without Reference Model.pdf,https://arxiv.org/abs/2403.07691,无 reference model
Preference,2024,SimPO: Simple Preference Optimization,02-Preference偏好对齐/SimPO - Simple Preference Optimization.pdf,https://arxiv.org/abs/2405.14734,简化偏好优化
RLVR,2024,DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models,03-RLVR强化学习与推理/DeepSeekMath - Pushing the Limits of Mathematical Reasoning in Open Language Models.pdf,https://arxiv.org/abs/2402.03300,GRPO 来源
RLVR,2025,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,03-RLVR强化学习与推理/DeepSeek-R1 - Incentivizing Reasoning Capability in LLMs via Reinforcement Learning.pdf,https://arxiv.org/abs/2501.12948,推理 RL
RLVR,2025,DAPO: An Open-Source LLM Reinforcement Learning System at Scale,03-RLVR强化学习与推理/DAPO - An Open-Source LLM Reinforcement Learning System at Scale.pdf,https://arxiv.org/abs/2503.14476,大规模 RL 系统
LongContext,2023,LongLoRA: Efficient Fine-tuning of Long-Context Large Language Models,04-LongContext与领域适配/LongLoRA - Efficient Fine-tuning of Long-Context Large Language Models.pdf,https://arxiv.org/abs/2309.12307,长上下文微调
Merging,2023,TIES-Merging: Resolving Interference When Merging Models,05-Merging与多专家LoRA/TIES-Merging - Resolving Interference When Merging Models.pdf,https://arxiv.org/abs/2306.01708,模型合并
Merging,2024,Mixture of LoRA Experts,05-Merging与多专家LoRA/Mixture of LoRA Experts.pdf,https://arxiv.org/abs/2404.13628,LoRA 专家组合
Merging,2025,DynMoLE: Dynamic Mixture of LoRA Experts,05-Merging与多专家LoRA/DynMoLE - Dynamic Mixture of LoRA Experts.pdf,https://arxiv.org/abs/2504.00661,动态 LoRA 专家
Survey,2026,Fine-tuning Large Language Models with Limited Data: A Survey,06-Surveys综述/Fine-tuning Large Language Models with Limited Data - A Survey.pdf,https://aclanthology.org/2026.tacl-1.17/,少数据微调综述
